"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BWZEX7NZ","journalArticle","1977","Sackett, James R.","The Meaning of Style in Archaeology: A General Model","American Antiquity","","","","","","1977","2011-05-01 23:04:36","2011-05-01 23:04:36","","369-380","","3","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWZVHBGT","book","2006","Hodder, Ian","The Leopard's Tale","","","","","","","2006","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","Thames and Hudson","London","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BX97RH9S","bookSection","1982","Ribera, A.","Genesis y problematica de la arqueolgoia urbana en la ciudad de Valenca","I Jornadas de Arqueologia en la Ciudades Antiguas","","","","","","1982","2011-05-01 23:04:36","2011-05-01 23:04:36","","39-46","","","","","","","","","","","","Zaragoza","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXFGI77N","journalArticle","1999","Weil, Stephen E.","From Being about Something to Being for Somebody: The Ongoing Transformation of the American Museum","Daedalus","","00115266","","http://www.jstor.org.libproxy.unm.edu/stable/20027573","","July 01, 1999","2011-02-20 16:10:23","2011-02-20 16:10:23","2011-02-20 16:10:23","229-258","","3","128","","","From Being about Something to Being for Somebody","","","","","","","","","","","","JSTOR","","ArticleType: research-article / Issue Title: America's Museums / Full publication date: Summer, 1999 / Copyright © 1999 American Academy of Arts & Sciences","","","http://www.jstor.org.libproxy.unm.edu/stable/pdfplus/20027573.pdf?acceptTC=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZ5FUSZU","bookSection","1997","Franklin, Hayward H.","Valencia Pueblo Ceramics","Excavations at Valencia Pueblo (LA 953) and a Nearby Hispanic Settlement (LA 67321), Valencia County, New Mexico","","","","","","1997","2015-09-11 21:54:28","2015-10-15 14:52:09","","125-257","","","","","","","","","","","Office of Contract Archeology. Prepared for the Office of Archeological Studies, OCA Report No. 185-400D. Copies available at the Office of Contract Archeology","Santa Fe, NM","","","","","","","","","","","","","","Brown, Kenneth L.; Vierra, Bradley J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZ8F3HRX","journalArticle","1994","Butzer, Karl W.","The Islamic Traditions of Agroecology: Crosscultural Experience, Ideas and Innovations","Ecumene","","","","","","1994","2011-05-01 23:04:36","2011-05-01 23:04:36","","7-50","","","1","","","","","","","","","","","","","","","","","","","","","islamic medieval history","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZI7DWWE","journalArticle","1994","Sillar, Bill","Playing with God: Cultural Perceptions of children, play, and miniatures in the Andes","Archaeological Review from Cambridge","","","","","","1994","2011-05-01 23:04:36","2011-05-01 23:04:36","","47-63","","2","13","","","","","","","","","","","","","","","","","","","","","ceramic theory crown S08; communities of practice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZRNWAE7","journalArticle","2011","Shackley, M. Steven","Sources of Archaeological Dacite in Northern New Mexico","Journal of Archaeological Science","","","","","","2011","2015-07-23 19:43:02","2015-07-23 19:43:47","","1001-1007","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C23ABCDE","bookSection","1994","Wills, W.H. and Bruce Huckell","Economic Implications of Changing Land-Use Pattterns in the Late-Archaic","Themes in Southwest Prehistory","","","","","","1994","2011-05-01 23:04:36","2011-05-01 23:04:36","","33-52","","","","","","","School of American Research Advanced Seminar Series","","","","School of American Research Press","Santa Fe","","","","","","","","","","","","","","Gumerman, G.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2JTRMFR","webpage","","","Skybox Imaging - Welcome","","","","","http://www.skybox.com/","","","2015-09-13 17:09:31","2015-09-13 17:09:31","2015-09-13 17:09:31","","","","","","","","","","","","","","","","","","","","","","","/home/kris/.mozilla/firefox/72w7lie7.OCA-zotero/zotero/storage/6499S73F/www.skybox.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2NBTK72","journalArticle","1979","Izquierdo Benito, R.","Excavaciones en la Ciudad Hispano-Musulmana de Vascos. (Navalmoralejo-Toledo) Campanas 1975-78","Noticiario Arqueologico Hispanico","","","","","","1979","2011-05-01 23:04:36","2011-05-01 23:04:36","","248-392","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C35ZDK5J","journalArticle","2000","Serrano Ruano, Delfina","Legal Practice in an Andalusī-Maghribī Source from the Twelfth Century CE: The Madhāhib al-Hukkām Fī Nawāsil Al-Ahkām","Islamic Law and Society","","","","","","2000","2011-05-01 23:04:36","2011-05-01 23:04:36","","187-234","","2","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3R8KAGZ","journalArticle","1925","Bryan, Kirk","Date of Channel Trenching (Arroyo Cutting) in the Arid Southwest","Science","","0036-8075","","http://www.jstor.org/stable/1648948","","October 16, 1925","2015-08-21 16:56:29","2015-08-21 16:56:29","2015-08-21 16:56:29","338-344","","1607","62","","Science","","New Series","","","","","","","Copyright © 1925 American Association for the Advancement of Science","","","","JSTOR","","","","","http://www.jstor.org/stable/pdfplus/10.2307/1648948.pdf?acceptTC=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3R8ZTKP","journalArticle","2004","Martínez Enamorado, Virgilio","Sobre las 'cuidadas iglesias' de Ibn Hafsun. Estudio de la basílica hallada in la ciudad de Bobastro (Ardales, Málaga)","Madrider Mitteilungen","","","","","","2004","2011-05-01 23:04:36","2011-05-01 23:04:36","","507-531","","","45","","","","","","","","","","","","","","","","","","","","","Caliphal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C432ZHHS","book","1953","Stubbs, Stanley A.; Stallings, W.S.","The Excavation of Pindi Pueblo, New Mexico","","","","","","","1953","2015-10-14 16:11:24","2015-10-14 16:13:14","","","","","","","","","","Monograph 18","","","School of American Research and Laboratory of Anthropology","Santa Fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C447ZUZN","book","1996","Hill, Jonathan D.","Ethnogenesis in the Americas","","","","","","","1996","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","University of Iowa Press","Iowa City","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4DH9HID","email","2012","Todd, Brenda","CR Collections","","","","","","","April 11, 2012","2012-06-02 19:00:31","2012-06-02 19:00:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4G7BTSB","journalArticle","1999","Tite, M.S.","Pottery Production, Distribution, and Consumption--the Contribution of the Physical Sciences","Journal of Archaeological Method and Theory","","","","","","1999","2011-05-01 23:04:36","2011-05-01 23:04:36","","181-233","","3","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4HW27MC","journalArticle","1954","MARTIN, PAUL S.; RINALDO, JOHN B.; BLUHM, ELAINE","Caves of the Reserve Area","Fieldiana. Anthropology","","0071-4739","","http://www.jstor.org/stable/29782335","","June 11, 1954","2015-08-21 17:18:01","2015-08-21 17:18:01","2015-08-21 17:18:01","1-227","","","42","","Fieldiana. Anthropology","","","","","","","","","Copyright © 1954 Field Museum of Natural History","","","","JSTOR","","","","","http://www.jstor.org/stable/pdfplus/10.2307/29782335.pdf?acceptTC=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4PH23PX","book","1993","Hogan, Patrick","Overview, Research Design, and Data Recovery Program for Cultural Resources within the Bolack Land Exchange","","","","","","","1993","2015-08-14 21:14:14","2015-08-14 21:15:06","","","","","","","","","","","","","Office of Contract Archeology, report no. 185-247A. Copies available at the Office of Contract Archeology, Albuquerque.","Albuquerque, NM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4PK94GE","journalArticle","2003","Underhill, Anne P.","Investigating Variation in Organization of Ceramic Production: An Ethnoarchaeological Study in Guizhou, China","Journal of Archaeological Method and Theory","","10725369","","http://www.jstor.org.libproxy.unm.edu/stable/20177480","This paper discusses variation in the organization of ceramic production among family specialists who use a fast wheel technology in south-central Guizhou, China. There is considerable variation in intensity, output, and scale among potting house-holds in two communities. The paper evaluates the utility of two kinds of potential material indicators for this variation: 1) spatial organization for different steps in production (forming vessels, preparing clay, drying vessels, firing), and 2) degree of vessel uniformity. Although degree of uniformity of vessels does vary with intensity for some dimensions, other factors such as experience of the potter and consumer demand need to be considered. Material features of production areas are more obvious indicators of variation in intensity and output.","2003","2011-01-16 22:45:13","2011-01-16 22:45:13","2011-01-16 22:45:13","203-275","","3","10","","","Investigating Variation in Organization of Ceramic Production","","","","","","","","","","","","JSTOR","","ArticleType: research-article / Full publication date: Sep., 2003 / Copyright © 2003 Springer","","","http://www.jstor.org.libproxy.unm.edu/stable/pdfplus/20177480.pdf?acceptTC=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4RKRFIB","book","1971","Toulouse, Julian Harrison","Bottle Makers and Their Marks","","","","","","","1971","2014-10-03 15:58:01","2014-10-03 15:59:24","","","","","","","","","","","","","Blackburn Press","Caldwell, N.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C4ZPDWXI","bookSection","2010","Schleher, Kari Lynn","Appendix A: Petrographic Analysis of Pottery Mound Ceramics","The Pottery of Pottery Mound - A Study of the 1979 UNM Field School Collection, Part 2: Ceramic Materials and Regional Exchange","","","","","","2010","2015-10-13 21:43:35","2015-10-13 21:46:09","","66-71","","","","","","","Maxwell Museum Technical Series","12","","","University of New Mexico","Albuquerque","","","","","","","","","","","","","","Franklin, H.H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6HXUCDM","bookSection","1995","Alvaro, M.I.","El trabajo de los mudejares y los moriscos en el reino de Navarra: estado de la cuestion","IV Simposio Internacional de mudejarismo. Teruel.","","","","","","1995","2011-05-01 23:04:36","2011-05-01 23:04:36","","7-38","","","","","","","","","","","Instituto de Estudios Turolenses","Teruel.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6T8FBSX","webpage","2006","Southard, John","12.090 Introduction to Fluid Motions, Sediment Transport, and Current-Generated Sedimentary Structures, Fall 2006","MIT OpenCourseWare: Massachusetts Institute of Technology","","","","http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-090-introduction-to-fluid-motions-sediment-transport-and-current-generated-sedimentary-structures-fall-2006","","2006","2015-08-19 18:18:16","2015-08-19 18:19:47","2014-04-23","","","","","","","","","","","","","","","","","","","","","License: Creative Commons BY-NC-SA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6UJX6U5","blogPost","","","Salt Lake Randonneurs | 2015 Schedule","","","","","http://www.saltlakerandos.org/2015-schedule","","","2015-01-20 22:11:34","2015-01-20 22:11:34","2015-01-20 22:11:34","","","","","","","","","","","","","","","","","","","","","","","/home/kris/.mozilla/firefox/72w7lie7.OCA-zotero/zotero/storage/IU4P9UQZ/2015-schedule.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6X844RT","journalArticle","1999","O'Neill, Colleen","The ""Making"" of the Navajo Worker: Navajo households, the Bureau of Indian Affairs, and off-reservation wage work, 1948-1960","New Mexico Historical Review","","","","","","1999","2015-07-15 16:58:55","2015-07-15 17:00:42","","375-405","","4","74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7CT38G2","journalArticle","2001","Praetzellis, Adrian and Mary Praetzellis","Mangling Symbols of Gentility in the Wild West: Case Studies in Interpretive Archaeology","American Anthropologist","","","","","","2001","2011-05-01 23:04:36","2011-05-01 23:04:36","","645-654","","3","103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C89TM6QQ","book","1948","Castejon, R.","Los jurístas hispano-musulmanes (desde la conquista, hasta la caida del califato de Cordoba--años 711 a 1031 de C.)","","","","","","","1948","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","","Madrid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C8XNQ9A6","letter","1993","Holbrook, Marvin E.","Adams State College, Luther E. Bean Museum","","","","","","","May 17, 1993","2012-06-05 15:07:32","2012-06-05 15:08:56","","","","","","","","","","","","","","","","","","USFS San Juan National Forest Pagosa District Office","File Cabinet drawer five","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C95Q8V3C","journalArticle","2005","O'Connor, Isabel","Mudejars Helping Other Mudejars in the Kingdom of Valencia","Al-Masaq","","","","","","2005","2011-05-01 23:04:36","2011-05-01 23:04:36","","99-108","","1","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAQA8ESQ","thesis","1964","Krenetsky, John C.","Phytosociological Study of the Picuris Grant and Ethnobotanical Study of the Picuris Indians","","","","","","","1964","2015-10-12 17:36:03","2015-10-12 17:36:49","","","","","","","","","","","","","Department of Biology, University of New Mexico","Albuquerque","","","M.S. thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAUNUJJN","bookSection","1993","Borras Gualis, Gonzalo","El arte mudejar: estado actual de la cuestion","Mudejar iberoamericano: una expresion cultural de dos mundos","","","","","","1993","2011-05-01 23:04:36","2011-05-01 23:04:36","","19-","","","","","","","","","","","Universidad de Granada","Granada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CB9WQN25","journalArticle","1994","Schmitt, Dave N.; Shaver III, Monson W.; Hunt, Jeffrey M.","From Here to Antiquity: Holocene Human Occupation on Camels Back Ridge, Tooele County, Utah","Utah Archaeology","","","","","","1994","2015-08-07 19:32:09","2015-08-07 19:33:51","","35-50","","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBT82SNI","journalArticle","1998","Avner, Uzi","Early Islamic Settlement in the Southern Negev","Bulletin of the American Schools of Oriental Research","","","","","","1998","2011-05-01 23:04:36","2011-05-01 23:04:36","","39-57","","310","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CC5WAZBK","book","2004","Whitcomb, Donald","Changing Social Identity with the Spread of Islam: Archaelogical Perspectives","","","","","","","2004","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","Oriental Institute Seminars","","","","The Oriental Institute of the University of Chicago","Chicago","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCAUZBF7","journalArticle","1969","Tite, M.S.","Determination of the Firing Temperature of Ancient Ceramics by Measurement of Thermal Expansion: A Reassessment","Archaeometry","","","","","","1969","2011-05-01 23:04:36","2011-05-01 23:04:36","","131-143","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCGAGFWH","presentation","2014","Steffen, Anastasia","National Landmarks at Risk: How rising Seas, Floods, and Wildfires are Threatening the United States' Most Cherished Historic Sites","","","","","","","May 20, 2014","2014-10-09 16:49:22","2014-10-13 15:09:03","","","","","","","","","","","","","","Washington D.C.","","","Environmental and Energy Study Institute Briefing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","National Landmarks at Risk: How Rising Seas, Floods, and Wildfires Are Threatening the United States' Most Cherished Historic Sites","","","","","","","","","","","","","","","",""
"CDB5U5AF","bookSection","1938","Boaz, Franz","Introduction","The Mind of Primitive Man","","","","","","1938","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","Macmillan Company","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDCKTGMM","book","2004","Barceló, Miquel; Sigaut, François","The Making of Feudal Agricultures?","","","","","","","2004","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","Brill","Leiden","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDT9G7DH","journalArticle","2003","Roux, Valentine","Ceramic Standardization and Intensity of Production: Quantifying degrees of standardization","American Antiquity","","","","","","2003","2011-05-01 23:04:36","2011-05-01 23:04:36","","768-782","","4","68","","","","","","","","","","","","","","","","","","","","","ceramic theory crown S08; communities of practice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CE2NR6TP","bookSection","1982","Durkheim, Emile","Chapter 1: What is Social Fact?","Rules of Sociological Method","","","","","","1982","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","Free Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CEVENJP5","book","1973","Burns, R. Ignatius","Islam under the Crusaders: Colonial Survival in the Thirteenth Century Kingdom of Valencia","","","","","","","1973","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","Princeton University Press","Princeton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFA4IEI6","journalArticle","1946","Hurt, Wesley R.; Dick, Herbert","Spanish-American Pottery from New Mexico","El Palacio","","","","","","1946","2011-05-01 23:04:36","2011-05-02 00:27:53","","280-288, 307-312","","10-11","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFK3K5XA","journalArticle","1982","Lopez, Larry S.","The Rio Puerco Irrigation Company","New Mexico Historical Review","","","","","","1982","2015-02-11 19:29:34","2015-02-11 19:30:35","","63-79","","1","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CG2ZJXJM","book","1998","","The Archaeology of Social Boundaries","","978-1-56098-779-6","","","","","1998","2011-05-02 02:15:02","2014-04-27 15:45:01","","","","","","","","","","","","","Smithsonian Institution Scholarly Press","","","","","","","Amazon.com","","","","","http://www.amazon.com/dp/1560987790","ceramics; community of practice; identity; practice theory","","Stark, Miriam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CGW2EQSD","bookSection","2009","Lusteck, Robert","The Migrations of Maize into the Southeastern United States","Histories of Maize: Multidisciplinary Approaches to the Prehistory, Linguistics, Biogeography, Domestication, and Evolution of Maize","","","","","","2009","2015-10-29 17:50:09","2015-10-29 17:51:03","","","","","","","","","","","","","Left Coast Press","Walnut Creek, CA","","","","","","","","","","","","","","Benz, Bruce F.; Tykot, Robert H.; Staller, John E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHA3HG4J","bookSection","1995","Bartel, Brad","Acculturation and Ethnicity in Roman Moesia Superior","Center and Periphery: Comparative Studies in Archaeology","","","","","","1995","2011-05-01 23:04:36","2011-05-01 23:04:36","","177-191","","","","","","","One World Archaeology","","","","Routledge","New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHT955A4","journalArticle","2005","Voss, Barbara L.","From Casta to Californio: Social Identity and the Archaeology of Culture Contact","American Anthropologist","","","","","","2005","2011-05-01 23:04:36","2011-05-01 23:04:36","","461-474","","3","107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHTHHI3Z","book","1944","Hall, Edward T","Early stockaded settlements in the Governador, New Mexico: a marginal Anasazi development from Basket Maker III to Pueblo I times","","","","","","","1944","2014-09-18 19:01:46","2014-09-18 19:01:46","","","","","","","","Early stockaded settlements in the Governador, New Mexico","","","","","Columbia University Press","New York","English","","","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CI9WKGFC","journalArticle","1979","Binford, Lewis R.","Organization and Formation Processes: Looking at Curated Technologies","Journal of Anthropological Research","","0091-7710","","http://www.jstor.org/stable/3629902","This paper draws upon ethnographic experiences among the Nunamiut Eskimo for insights into the effects of technological organization on interassemblage variability. Varying situationally conditioned strategies of raw material procurement, tool design and manufacture, and disposal are described as clues to site function or ""placement"" in a subsistence-settlement system.","October 1, 1979","2015-09-11 13:41:27","2015-09-11 13:41:27","2015-09-11 13:41:27","255-273","","3","35","","Journal of Anthropological Research","Organization and Formation Processes","","","","","","","","Copyright © 1979 University of New Mexico","","","","JSTOR","","","","/home/kris/.mozilla/firefox/72w7lie7.OCA-zotero/zotero/storage/6NS73WWX/Binford - 1979 - Organization and Formation Processes Looking at C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIBCDB63","thesis","1994","Schmader, Matthew F.","Early Puebloan Site Structure and Technological Organization in the Middle Rio Grande Valley, New Mexico","","","","","","","1994","2014-09-17 15:55:41","2015-08-25 22:35:52","","","","","","","","","","","","","University of New Mexico","Albuquerque, NM","English","","Ph.D. dissertation","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIBXCDFT","book","1987","Crone, Patrica","Meccan Trade and the Rise of Islam","","","","","","","1987","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","Princeton University Press","Princeton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIJWA7M2","webpage","2007","SAA","Principles of Archaeological Ethics","","","","","http://www.saa.org/aboutSAA/committees/ethics/principles.html","","March 18 March 18, 2007 1996","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","","","","","","","","","","","","","http://www.saa.org/aboutSAA/committees/ethics/principles.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIQ6JKT4","journalArticle","1993","Rautman, Alison E.","Resource Variability, Risk, and the Structure of Social Networks: An example from the prehistoric southwest","American Antiquity","","","","","","1993","2011-05-01 23:04:36","2011-05-01 23:04:36","","403-434","","3","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIT9Z7CS","webpage","","","Cuprothal 5 — Kanthal","","","","","http://kanthal.com/en/products/material-datasheets/wire/resistance-heating-wire-and-resistance-wire/cuprothal-5/","","","2015-02-06 04:28:11","2015-02-06 04:28:11","2015-02-06 04:28:11","","","","","","","","","","","","","","","","","","","","","","","/home/kris/.mozilla/firefox/72w7lie7.OCA-zotero/zotero/storage/J5HK73F9/cuprothal-5.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIVJZJUB","bookSection","1992","Winter, Joseph C.; Hogan, Patrick F.","The Dinetah Phase of Northwestern New Mexico: Settlement and Subsistence","Current Research on the Late Prehistory and Early History of New Mexico","","","","","","1992","2015-09-21 14:50:48","2015-09-21 14:52:16","","299-312","","","","","","","New Mexico Archaeological Council Special Publication","1","","","New Mexico Archaeological Council","Albuquerque, NM","","","","","","","","","","","","","","Vierra, Bradley J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIXJXT57","book","2002","McKercher, Bob","Cultural tourism : the partnership between tourism and cultural heritage management","","","","","","","2002","2011-05-01 23:04:36","2011-05-01 23:04:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJABC69E","bookSection","2000","Stuckey, Ronald L.; Barkley, Theodore M.","Weeds in North America","Flora of North America, Vol. 1","","","","","","2000","2015-10-12 19:47:41","2015-10-12 19:52:06","","","","","","","","","","","","","Flora of North America Association","Harvard.edu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJBQ7BSH","journalArticle","1989","Robinson, Paul; Varela, Maria; Torres, Luis; Lee, Yin-May","Revitalizing HIspanic and Native American Communities: Four Examples","The Workbook","","","","","","1989","2013-05-01 22:34:06","2013-05-01 22:39:56","","1-11","","1","14","","","","","","","","","","","","","","Commercial Info Wildcrafting folder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CK35J8C3","book","1993","Chimney Rock Archaeological Symposium","The Chimney Rock Archaeological Symposium: October 20-21,1990: Durango, Colorado","","","","","","","1993","2012-05-15 20:42:23","2012-05-16 15:21:23","","","106","","","","","The Chimney Rock Archaeological Symposium","General technical report RM","227","","","Rocky Mountain Forest and Range Experiment Station, U.S. Dept. of Agriculture","Fort Collins, CO","","","","","","opac.fortlewis.edu Library Catalog","SD11 .A4554 no.227","","","","","","","Malville, J. McKim; Matlock, Gary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
